Exiting
         839940 function calls (834012 primitive calls) in 9.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
        1    0.000    0.000    0.006    0.006 request.py:24(<module>)
        7    0.000    0.000    0.005    0.001 enum.py:638(_convert)
        1    0.000    0.000    0.005    0.005 pickle.py:24(<module>)
      710    0.005    0.000    0.005    0.000 {method 'send' of '_socket.socket' objects}
        1    0.000    0.000    0.005    0.005 _datasource.py:36(<module>)
      223    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.005    0.005 __init__.py:71(<module>)
        2    0.000    0.000    0.005    0.003 display.py:69(__init__)
        2    0.000    0.000    0.005    0.003 display.py:83(__init__)
        1    0.005    0.005    0.005    0.005 utils.py:108(init_drawing_buffer)
        1    0.000    0.000    0.005    0.005 drawable.py:22(<module>)
      280    0.001    0.000    0.005    0.000 function_base.py:475(add_newdoc)
       36    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.005    0.005 numerictypes.py:81(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.005    0.005 error.py:23(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:116(<module>)
        2    0.000    0.000    0.005    0.002 subprocess.py:681(__init__)
      710    0.005    0.000    0.005    0.000 {method 'recv' of '_socket.socket' objects}
      624    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
       82    0.000    0.000    0.004    0.000 enum.py:289(__call__)
      446    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        2    0.000    0.000    0.004    0.002 subprocess.py:1412(_execute_child)
     1362    0.002    0.000    0.004    0.000 rq.py:304(parse_value)
5889/5872    0.003    0.000    0.004    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.004    0.002 threading.py:834(start)
      681    0.003    0.000    0.004    0.000 display.py:233(screen)
        8    0.000    0.000    0.004    0.001 enum.py:394(_create_)
        1    0.000    0.000    0.004    0.004 linalg.py:10(<module>)
        2    0.000    0.000    0.004    0.002 threading.py:534(wait)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
15017/13347    0.003    0.000    0.004    0.000 {built-in method builtins.len}
      488    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 datetime.py:5(<module>)
   241/36    0.001    0.000    0.004    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.004    0.004 threading.py:1(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
       24    0.000    0.000    0.004    0.000 display.py:691(query_extension)
       24    0.001    0.000    0.004    0.000 __init__.py:316(namedtuple)
      291    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      390    0.003    0.000    0.003    0.000 rq.py:942(__init__)
      380    0.002    0.000    0.003    0.000 functools.py:37(update_wrapper)
      265    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      706    0.003    0.000    0.003    0.000 display.py:63(__getitem__)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:34(<module>)
     2652    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       23    0.000    0.000    0.003    0.000 overrides.py:227(decorator)
      709    0.003    0.000    0.003    0.000 display.py:353(send_request)
        1    0.000    0.000    0.003    0.003 scimath.py:33(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:1061(system)
        2    0.000    0.000    0.003    0.002 platform.py:923(uname)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:780(_syscmd_uname)
      613    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:201(<module>)
      711    0.002    0.000    0.003    0.000 rq.py:994(<listcomp>)
       30    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
      708    0.002    0.000    0.003    0.000 display.py:922(get_waiting_replyrequest)
      322    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     5251    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      601    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      620    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
        2    0.000    0.000    0.003    0.001 display.py:1062(__init__)
        1    0.000    0.000    0.003    0.003 rq.py:23(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:4(<module>)
        1    0.000    0.000    0.002    0.002 colormap.py:22(<module>)
     1736    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55fbd1f599a0}
        2    0.002    0.001    0.002    0.001 {built-in method posix.read}
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1358    0.002    0.000    0.002    0.000 utils.py:37(point_inside_canvas)
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
        2    0.001    0.001    0.002    0.001 display.py:406(_update_keymap)
        2    0.000    0.000    0.002    0.001 display.py:933(parse_connection_setup)
     22/6    0.000    0.000    0.002    0.000 rq.py:502(parse_binary_value)
       30    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        6    0.000    0.000    0.002    0.000 connect.py:54(_relative_import)
     2424    0.002    0.000    0.002    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
        1    0.000    0.000    0.002    0.002 os.py:980(popen)
        2    0.000    0.000    0.002    0.001 connect.py:58(get_display)
      708    0.002    0.000    0.002    0.000 display.py:49(__init__)
      613    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      336    0.001    0.000    0.002    0.000 enum.py:71(__setitem__)
        1    0.000    0.000    0.002    0.002 utils.py:130(clean_up)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
     2828    0.001    0.000    0.002    0.000 display.py:60(__len__)
